# Edge events for shell 97.5бу
# start_epoch, end_epoch, satellite_i, satellite_j
0 120 859 955
0 120 346 964
0 120 673 684
16 18 29 390
109 112 29 390
0 120 349 974
0 120 564 670
0 120 192 1027
0 120 135 227
0 120 209 213
16 19 27 285
110 112 27 285
0 120 868 901
0 120 871 906
85 86 21 507
0 120 271 273
0 120 255 265
0 120 562 565
0 120 573 574
0 120 872 907
60 61 23 287
0 120 542 852
0 120 176 386
0 120 473 752
0 120 267 275
0 120 46 47
71 72 2 120
0 120 329 335
0 120 336 1048
0 120 144 698
0 120 181 994
0 120 99 812
0 120 135 240
0 120 236 1046
47 48 15 818
1 3 4 696
95 97 4 696
0 120 232 703
0 120 892 978
0 120 53 63
0 120 606 621
0 120 759 863
21 22 22 304
115 116 22 304
65 66 13 521
0 120 552 649
0 120 846 867
0 120 139 1005
0 120 118 128
0 120 731 737
0 120 689 920
56 56 6 481
58 59 6 481
0 120 79 996
0 120 1031 1034
0 120 71 992
0 120 182 185
0 120 149 237
0 120 462 468
0 120 343 1042
0 120 230 985
0 120 514 515
0 120 747 866
0 120 249 998
0 120 166 1000
0 120 411 422
63 63 6 602
66 68 6 602
70 78 6 602
0 120 74 1002
0 120 0 824
0 120 185 195
0 120 93 1015
0 120 798 804
74 76 42 412
81 81 4 120
0 120 0 415
0 120 528 534
0 120 122 669
22 29 21 474
116 120 21 474
0 120 70 1004
0 120 510 522
0 120 529 535
82 84 4 650
0 120 581 582
0 120 801 814
16 16 11 954
109 110 11 954
0 120 1031 1047
33 33 27 144
0 120 81 380
43 43 23 375
46 52 23 375
54 62 23 375
66 67 23 375
70 73 23 375
0 120 212 311
0 120 377 378
0 120 333 717
0 120 369 374
0 120 535 937
0 120 195 1017
77 78 4 254
0 120 187 1013
0 120 0 778
0 120 69 383
87 90 3 29
0 120 476 478
14 14 13 488
107 108 13 488
36 38 33 317
0 120 546 951
0 120 626 831
0 0 6 857
94 94 6 857
70 73 29 203
0 120 738 1008
0 120 346 898
0 120 132 560
0 120 781 826
0 120 101 801
0 120 76 399
0 120 68 395
4 7 29 324
98 101 29 324
74 76 23 509
0 120 273 275
0 120 845 846
0 120 0 791
0 120 424 444
0 120 1056 1066
0 120 184 728
0 120 874 909
36 37 29 854
0 120 340 975
0 120 785 837
11 12 4 1026
105 106 4 1026
0 120 86 161
0 120 339 341
69 71 42 500
40 45 11 512
0 120 235 1043
0 120 885 896
0 120 730 1022
0 120 612 621
0 120 384 385
0 120 638 795
0 120 88 737
26 30 42 212
120 120 42 212
0 120 449 450
35 36 27 232
38 39 33 163
0 120 139 1047
70 72 15 523
0 120 231 1050
0 120 741 743
0 120 879 978
0 120 345 1044
0 120 516 517
0 120 675 690
0 120 81 180
0 120 905 972
0 120 509 514
0 120 236 993
0 120 228 235
0 120 852 853
0 120 890 965
21 21 29 291
115 115 29 291
6 9 23 476
100 103 23 476
0 120 70 179
0 120 148 247
55 55 13 59
0 120 76 78
0 120 705 1040
0 49 23 597
68 120 23 597
0 120 539 864
0 120 921 929
71 75 11 479
0 120 232 712
0 120 545 943
0 120 186 1010
0 120 844 867
0 120 550 649
0 120 178 1006
14 15 22 264
108 109 22 264
0 120 197 1019
0 120 1036 1037
69 71 21 1059
0 2 32 314
93 96 32 314
0 120 467 471
0 120 629 1058
71 71 2 551
0 120 478 480
7 10 15 490
100 103 15 490
85 86 18 495
0 120 853 951
0 120 427 434
79 81 6 261
0 120 36 549
39 42 23 430
61 89 33 660
0 120 190 198
0 120 547 881
0 120 539 877
0 120 459 768
0 120 346 711
30 31 11 492
0 120 206 322
79 80 27 320
0 120 623 839
0 120 474 487
0 120 531 878
0 120 0 833
0 120 147 1031
0 120 529 953
0 120 881 883
0 120 301 308
50 51 20 29
46 47 13 1073
0 120 528 844
42 42 13 664
0 120 525 955
0 120 165 383
69 72 21 784
0 120 385 386
0 120 884 893
0 120 304 318
20 23 15 444
114 117 15 444
79 82 4 551
0 120 224 325
0 120 200 1020
0 120 97 104
16 17 11 855
110 111 11 855
70 72 33 614
0 120 89 100
0 120 888 899
72 77 11 446
0 120 300 320
26 28 32 389
120 120 32 389
39 43 21 496
0 120 208 322
13 17 6 516
107 111 6 516
0 120 452 453
0 120 3 218
0 120 897 961
0 120 1053 1065
0 120 203 220
0 120 105 737
92 93 6 349
33 63 4 276
65 72 4 276
74 76 4 276
60 60 33 748
0 120 56 57
0 120 176 388
0 120 11 580
0 120 506 522
0 120 618 620
0 120 610 616
0 120 329 337
0 120 715 1046
28 29 42 280
0 120 330 338
41 42 27 529
60 61 33 460
0 120 153 1050
0 120 692 919
0 120 920 926
0 120 458 752
0 120 328 1051
0 120 119 648
0 120 135 1001
0 120 242 984
0 120 685 916
0 120 349 701
0 120 0 404
68 71 13 523
77 80 33 352
61 63 32 356
0 120 285 307
0 120 532 938
43 48 6 483
0 120 449 760
43 46 42 293
5 7 22 427
98 100 22 427
27 28 29 997
0 120 403 420
0 120 101 198
0 120 0 826
7 8 11 1064
101 102 11 1064
0 120 0 417
0 120 533 880
65 69 11 426
0 120 868 870
0 120 871 875
0 120 114 667
11 16 21 476
105 110 21 476
0 120 326 703
0 120 537 886
0 120 138 243
12 14 22 31
106 108 22 31
0 120 66 74
18 18 15 437
111 112 15 437
26 27 22 970
120 120 22 970
0 120 825 1065
0 120 223 322
30 31 29 722
0 120 846 944
0 120 598 613
8 11 29 313
102 105 29 313
0 120 141 145
0 120 559 658
0 120 625 832
0 120 0 780
0 120 196 197
0 120 527 854
5 8 13 490
99 102 13 490
32 32 27 388
86 87 32 323
44 50 21 430
