# Edge events for shell 70бу
# start_epoch, end_epoch, satellite_i, satellite_j
0 120 57 503
0 120 344 596
0 120 88 527
0 120 517 524
0 120 259 265
0 120 590 593
0 120 307 650
0 120 14 168
0 120 73 74
0 120 152 367
0 120 136 688
0 120 343 609
0 0 30 112
93 96 30 112
0 120 491 507
0 120 100 622
0 120 543 554
0 120 119 635
0 120 74 75
0 120 627 633
59 62 30 377
0 120 145 364
0 120 325 331
0 120 117 302
0 120 123 196
0 120 597 610
0 120 107 108
0 120 70 77
0 120 48 58
0 120 11 256
0 120 399 401
0 120 23 230
0 120 650 657
0 120 294 464
0 120 432 434
0 120 468 473
0 120 675 686
0 120 305 595
0 120 394 407
0 120 373 384
0 120 211 551
0 120 446 454
13 18 4 109
110 114 4 109
48 51 28 466
0 120 40 669
0 120 133 488
0 120 206 472
0 120 228 231
0 120 19 237
0 120 498 500
0 120 678 696
0 120 58 85
0 120 442 456
33 38 18 537
14 18 7 119
110 114 7 119
0 120 144 353
0 120 147 687
0 120 91 118
0 120 523 529
33 36 25 289
0 120 226 428
0 120 142 694
0 120 65 510
0 120 72 369
0 120 303 647
0 120 146 700
0 120 286 594
0 120 527 540
0 120 264 575
0 120 372 374
0 120 91 95
0 120 261 277
10 11 18 370
0 120 361 364
91 93 147 255
0 120 105 524
0 120 3 247
0 120 124 128
0 120 596 612
0 120 342 387
0 120 135 137
0 120 667 672
0 120 127 133
0 120 375 384
0 120 106 110
0 120 326 379
50 57 10 551
0 120 351 701
0 120 303 624
0 120 40 659
0 120 430 436
0 120 629 645
0 120 241 420
15 20 18 491
111 115 18 491
0 120 133 478
0 120 75 653
5 6 30 236
8 8 30 236
14 15 30 236
17 17 30 236
24 24 30 236
33 33 30 236
64 64 30 236
67 67 30 236
70 75 30 236
83 83 30 236
85 86 30 236
89 90 30 236
92 92 30 236
94 95 30 236
102 102 30 236
104 104 30 236
111 113 30 236
0 120 304 625
0 120 398 403
0 120 101 525
0 120 290 461
0 120 630 646
81 85 255 440
0 120 169 171
0 120 349 367
62 66 15 113
