# Edge events for shell 53бу
# start_epoch, end_epoch, satellite_i, satellite_j
79 80 887 2830
0 120 3965 3991
59 60 768 1418
5 5 417 437
17 17 417 437
23 24 417 437
26 26 417 437
29 36 417 437
40 46 417 437
52 52 417 437
56 56 417 437
58 61 417 437
117 117 417 437
0 120 1530 3461
48 50 2555 2666
85 86 535 658
44 46 46 1433
25 27 58 504
119 120 58 504
30 31 120 2136
18 24 278 2722
112 118 278 2722
3 5 696 3235
97 99 696 3235
53 54 2291 3559
3 3 419 2203
97 97 419 2203
54 56 69 104
53 54 989 1767
79 80 309 1254
63 64 1971 3554
35 35 844 2352
0 120 44 47
0 120 109 442
63 66 255 2711
11 12 225 4000
105 105 225 4000
2 3 354 3656
95 97 354 3656
50 51 32 3605
81 82 278 628
32 34 753 1675
38 39 1019 4046
39 40 6 3323
10 11 278 1567
104 105 278 1567
38 38 367 3302
47 47 4 3250
27 27 16 2321
120 120 16 2321
54 54 1592 2595
0 120 1177 2353
55 57 1155 2594
0 12 982 1885
0 120 1154 2369
29 31 760 3004
0 120 1730 3468
0 120 1649 2348
11 13 1446 3709
105 107 1446 3709
58 59 1004 3364
0 120 630 679
5 7 230 3189
99 100 230 3189
21 21 1025 3652
115 115 1025 3652
0 120 1572 3821
12 13 2444 3750
106 107 2444 3750
0 120 3913 3935
60 65 558 2496
0 120 3245 3247
24 29 1091 2959
118 120 1091 2959
0 120 1113 2718
34 35 282 346
53 56 374 3318
0 120 1785 1835
93 93 1361 3759
0 120 191 1921
32 34 1452 3123
0 120 1135 3416
24 25 631 1439
31 31 631 1439
37 37 631 1439
39 39 631 1439
46 49 631 1439
117 119 631 1439
75 77 856 4001
109 109 958 2965
30 32 1008 3082
43 46 1025 2497
0 120 973 2307
0 120 1081 1086
0 23 374 1224
25 29 374 1224
31 34 374 1224
36 42 374 1224
75 75 374 1224
83 117 374 1224
119 120 374 1224
16 17 95 1809
109 111 95 1809
0 120 2392 2405
21 23 229 2563
115 115 229 2563
0 120 122 3632
